Climatelab code,Lat,Long,Start,End,Equipment,Type,Shelter
829-1-MX-5,-14.4437,132.2737,12 Aug 2003,30 Jun 2005,MiG (Max),Dobbie (19298),
829-1-MX-6,-14.4437,132.2737,01 Jul 2005,Unclear,MiG (Max),Dobbie (19298),
829-1-MX-7,-14.4437,132.2737,24 Nov 2005,16 Apr 2010,MiG (Max),Dobbie (12957),
829-1-MX-8,-14.4437,132.2737,16 Apr 2010,23 Jan 2012,MiG (Max),Dobbie (CBM1807),

829-0-DX-0,-14.45,132.2667,07 May 1970,06 Jul 1972,DB: MiG,Dobbie (1571),
829-0-DX-1,-14.45,132.2667,06 Jul 1972,04 Sep 1972,DB: MiG,Dobbie (1154),
829-0-DX-2,-14.45,132.2667,04 Sep 1972,13 Jan 1978,DB: MiG,Dobbie (2968),
829-1-DX-0,-14.4437,132.2737,28 Nov 1988,23 Jun 1995,DB: MiG,Dobbie (1130),
829-1-DX-1,-14.4437,132.2737,23 Jun 1995,23 Jan 2012,DB: MiG,Dobbie (CBM1130),
829-1-DX-2,-14.4437,132.2737,08 Sep 2000,23 Jan 2012,DB: MiG,Dobbie (5224),

014904: Katherine Exp. Farm,-14.4833,132.2500,Jan 1944,Nov 1967
NO METADATA AVAILABLE

014905: Port Keats Police,-14.2403,129.5215,Jan 1938,Jul 1971
822-50-AX-0,-14.2356,129.5167,01 Jan 1938,12 Jan 1959,AiG (Min),Unknown (Unknown),
822-50-AX-1,-14.2356,129.5167,12 Jan 1959,16 Oct 1964,AiG (Min),Unknown (Unknown),
822-50-AX-2,-14.2356,129.5167,16 Oct 1964,18 Oct 1967,AiG (Min),Unknown (Unknown),
822-50-AX-3,-14.2356,129.5167,18 Oct 1967,03 Nov 1971,AiG (Min),Dobbie (6020),

822-50-MX-0,-14.2356,129.5167,01 Jan 1938,03 Nov 1971,MiG (Max),Dobbie (3927),

822-50-DX-0,-14.2356,129.5167,01 Jan 1938,16 Oct 1964,DB: MiG,Dobbie (633),
822-50-DX-1,-14.2356,129.5167,16 Oct 1964,03 Nov 1971,DB: MiG,Dobbie (0633),
822-50-DX-2,-14.2356,129.5167,19 Sep 1972,19 Sep 1978,DB: MiG,Dobbie (71),

014908: Wooliana,-13.6817,130.6367,Oct 1966,Feb 1980
NO METADATA AVAILABLE

014909: Central Arnhem Plateau,-13.3275,133.0861,Aug 2003,May 2019
886-0-PX-0,-13.3275,133.0861,23 May 2003,12 May 2011,Probe,Rosemount (0479),
886-0-PX-1,-13.3275,133.0861,12 May 2011,Still active*,Probe,Temp Control TCBMP01 (10254),

014924: Injun Beach,-14.2350,129.4242,Dec 1991,Oct 1999
822-51-PX-0,-14.235,129.4242,01 Jun 1990,08 Aug 1998,Probe,Rosemount (Unknown),

014925: Tipperary,-13.7352,131.0437,May 1969,Jul 1971
NO METADATA AVAILABLE

014932: Tindal RAAF,-14.5229,132.3826,Jan 1985,May 2019
853-0-PX-0,-14.52285,132.38258,01 Feb 1990,12 May 2006,Probe,Rosemount (NONE),
853-0-PX-1,-14.52285,132.38258,12 May 2006,Still active*,Probe,Rosemount ST2401 (0780),

853-0-DX-0,-14.52285,132.38258,01 Jan 1978,Still active*,DB: MiG,Dobbie (S1517),

014933: Pine Creek,-13.8241,131.8372,Jul 1968,May 1969
NO METADATA AVAILABLE

014938: Mango Farm,-13.7379,130.6834,May 1980,Dec 2015
822-52-AX-0,-13.7379,130.6834,14 May 1980,26 Aug 1996,AiG (Min),Dobbie (346),
822-52-AX-1,-13.7379,130.6834,26 Aug 1996,18 Dec 1996,AiG (Min),Dobbie (Unknown),
822-52-AX-2,-13.7379,130.6834,18 Dec 1996,09 Feb 1998,AiG (Min),Dobbie (Unknown),
822-52-AX-3,-13.7379,130.6834,09 Feb 1998,04 Dec 2003,AiG (Min),Dobbie (14434),
822-52-AX-4,-13.7379,130.6834,04 Sep 2001,19 Jun 2005,AiG (Min),Dobbie (20755),
822-52-AX-5,-13.7379,130.6834,04 Dec 2003,01 Sep 2004,AiG (Min),Dobbie (20522),
822-52-AX-6,-13.7379,130.6834,01 Sep 2004,26 Jul 2012,AiG (Min),Dobbie (24251),
822-52-AX-7,-13.7379,130.6834,21 Jun 2005,17 Sep 2015,AiG (Min),Dobbie (20522),
822-53-AX-0,-13.73785,130.6834,17 Sep 2015,Unclear,AiG (Min),Dobbie (20522),
822-52-AX-0,-13.7379,130.6834,22 Jun 2005,26 Jul 2012,AiG (Min),Dobbie (24251),

822-52-MX-0,-13.7379,130.6834,14 May 1980,29 Apr 1993,MiG (Max),Dobbie (1296),
822-52-MX-1,-13.7379,130.6834,29 Apr 1993,18 Dec 1996,MiG (Max),Dobbie (Unknown),
822-52-MX-2,-13.7379,130.6834,18 Dec 1996,09 Feb 1998,MiG (Max),Dobbie (Unknown),
822-52-MX-3,-13.7379,130.6834,09 Feb 1998,25 Feb 1999,MiG (Max),Dobbie (Unknown),
822-52-MX-4,-13.7379,130.6834,25 Feb 1999,17 Sep 2015,MiG (Max),Dobbie (15561),
822-53-MX-0,-13.73785,130.6834,17 Sep 2015,Unclear,MiG (Max),Dobbie (15561),
822-52-MX-0,-13.7379,130.6834,24 May 2001,26 May 2001,MiG (Max),Dobbie (20817),
822-52-MX-1,-13.7379,130.6834,26 May 2001,01 Sep 2004,MiG (Max),Dobbie (20629),
822-52-MX-2,-13.7379,130.6834,01 Sep 2004,17 Sep 2015,MiG (Max),Dobbie (17430),
822-53-MX-0,-13.73785,130.6834,17 Sep 2015,Unclear,MiG (Max),Dobbie (17430),

822-52-DX-0,-13.7379,130.6834,14 May 1980,15 Jul 1987,DB: MiG,Dobbie (1231),
822-52-DX-1,-13.7379,130.6834,15 Jul 1987,30 Apr 1996,DB: MiG,Dobbie (5155),
822-52-DX-2,-13.7379,130.6834,30 Apr 1996,18 Dec 1996,DB: MiG,Dobbie (Unknown),
822-52-DX-3,-13.7379,130.6834,18 Dec 1996,18 Jan 2000,DB: MiG,Dobbie (Unknown),
822-52-DX-4,-13.7379,130.6834,18 Jan 2000,17 Sep 2015,DB: MiG,Dobbie (15772),
822-53-DX-0,-13.73785,130.6834,17 Sep 2015,Unclear,DB: MiG,Dobbie (15772),
822-52-DX-0,-13.7379,130.6834,04 Sep 2001,26 Jul 2012,DB: MiG,Dobbie (NONE),
822-52-DX-1,-13.7379,130.6834,18 Aug 2008,26 Jul 2012,DB: MiG,Unknown (16000),
822-52-DX-2,-13.7379,130.6834,04 Dec 2013,17 Sep 2015,DB: MiG,Unknown (16000),
822-53-DX-0,-13.73785,130.6834,17 Sep 2015,Still active*,DB: MiG,Unknown (16000),

014948: Port Keats Airport,-14.2494,129.5282,Aug 1997,May 2019
822-54-PX-0,-14.2495,129.5282,28 Nov 1996,11 Jun 1998,Probe,Rosemount (160),
822-54-PX-1,-14.2495,129.5282,29 Aug 2000,25 Jul 2007,Probe,Rosemount (0379),
822-54-PX-2,-14.2495,129.5282,25 Jul 2007,30 Jul 2013,Probe,Temp Control TCBMP01 (10226),
822-54-PX-3,-14.2495,129.5282,30 Jul 2013,29 Jul 2014,Probe,WIKA TR40 (11369-35),
822-55-PX-0,-14.24938,129.5282,29 Jul 2014,Still active*,Probe,WIKA TR40 (11369-35),

014949: Delamere Weapons Range,-15.7441,131.9181,Apr 1997,May 2019
852-24-PX-0,-15.74415,131.91822,06 Mar 1997,29 May 2014,Probe,Rosemount (0105),
852-24-PX-1,-15.74415,131.91822,29 May 2014,15 Sep 2015,Probe,WIKA TR40 (113069-18),
852-25-PX-0,-15.74413,131.91809,15 Sep 2015,Still active*,Probe,WIKA TR40 (113069-18),

852-24-DX-0,-15.74415,131.91822,16 Apr 2000,23 Mar 2006,DB: MiG,Dobbie (12894),

014954: Bradshaw,-14.9408,130.8091,Oct 1998,May 2019
822-56-PX-0,-14.94083,130.8092,29 May 1998,02 Nov 2015,Probe,Rosemount (0302),
822-57-PX-0,-14.94076,130.80911,02 Nov 2015,Still active*,Probe,Rosemount (0302),

014960: Pine Creek Council,-13.8243,131.8320,Feb 2000,Jun 2011
847-0-AX-0,-13.8242,131.8321,09 Feb 2000,18 Jul 2006,AiG (Min),Dobbie (18984),
847-0-AX-1,-13.8242,131.8321,18 Jul 2006,31 Jul 2014,AiG (Min),Dobbie (23313),
847-1-AX-0,-13.82432,131.83199,31 Jul 2014,Unclear,AiG (Min),Dobbie (23313),
847-0-AX-0,-13.8242,131.8321,02 Jan 2007,02 Jan 2007,AiG (Min),Dobbie (CBM3240),
847-0-AX-1,-13.8242,131.8321,02 Jan 2007,04 Apr 2012,AiG (Min),Dobbie (19037),

847-0-MX-0,-13.8242,131.8321,09 Feb 2000,31 Jul 2014,MiG (Max),Dobbie (17423),
847-1-MX-0,-13.82432,131.83199,31 Jul 2014,Unclear,MiG (Max),Dobbie (17423),
847-0-MX-0,-13.8242,131.8321,28 Mar 2001,22 Apr 2002,MiG (Max),Dobbie (19312),
847-0-MX-1,-13.8242,131.8321,22 Apr 2002,18 Nov 2003,MiG (Max),Dobbie (21979),
847-0-MX-2,-13.8242,131.8321,18 Nov 2003,20 Nov 2003,MiG (Max),Dobbie (19312),
847-0-MX-3,-13.8242,131.8321,20 Nov 2003,22 Oct 2008,MiG (Max),Dobbie (21979),
847-0-MX-4,-13.8242,131.8321,20 Apr 2004,31 Jul 2014,MiG (Max),Dobbie (19312),
847-1-MX-0,-13.82432,131.83199,31 Jul 2014,Unclear,MiG (Max),Dobbie (19312),
847-0-MX-0,-13.8242,131.8321,22 Oct 2008,04 Apr 2012,MiG (Max),Dobbie (20812),

847-0-DX-0,-13.8242,131.8321,09 Feb 2000,04 Apr 2012,DB: MiG,Dobbie (19101),
847-0-DX-1,-13.8242,131.8321,28 Mar 2001,04 Apr 2012,DB: MiG,Dobbie (19114),

014982: Kangaroo Flats (Defence),-12.7934,130.8542,Sep 2017,May 2019
822-58-PX-0,-12.7934,130.8542,06 Jul 2017,07 Mar 2019,Probe,WIKA TR40 (21260-16),
822-58-PX-1,-12.7934,130.8542,07 Mar 2019,Still active*,Probe,Temp Control TCBMP01 (10314),

014983: Mount Bundey North (Defence),-12.9114,131.8663,Sep 2017,May 2019
822-59-PX-0,-12.91407,131.8663,05 Jul 2017,Still active*,Probe,WIKA TR40 (21760-18),

014984: Mount Bundey South (Defence),-13.0889,131.8478,Sep 2017,May 2019
886-1-PX-0,-13.0889,131.8478,30 Aug 2017,Still active*,Probe,WIKA TR40 (21260-17),

015005: Avon Downs,-20.0297,137.4907,May 1970,Sep 1978
862-2-AX-0,-20.0298,137.4906,24 May 1970,07 Jul 1972,AiG (Min),Dobbie (6646),
862-2-AX-1,-20.0298,137.4906,07 Jul 1972,21 Nov 1972,AiG (Min),Dobbie (132),
862-2-AX-2,-20.0298,137.4906,21 Nov 1972,24 Nov 1977,AiG (Min),Dobbie (1565),
862-2-AX-3,-20.0298,137.4906,24 Nov 1977,15 Sep 1978,AiG (Min),Dobbie (2021),

862-2-MX-0,-20.0298,137.4906,24 May 1970,07 Jul 1972,MiG (Max),Dobbie (7281),
862-2-MX-1,-20.0298,137.4906,07 Jul 1972,22 Mar 1977,MiG (Max),Dobbie (269),
862-2-MX-2,-20.0298,137.4906,22 Mar 1977,15 Sep 1978,MiG (Max),Dobbie (2601),

862-2-DX-0,-20.0298,137.4906,24 May 1970,07 Jul 1972,DB: MiG,Dobbie (997),
862-2-DX-1,-20.0298,137.4906,07 Jul 1972,15 Sep 1978,DB: MiG,Dobbie (910),

015034: Wonarah,-19.8983,136.3358,Oct 1950,Aug 1974
862-3-AX-0,-19.8983,136.3358,01 Apr 1946,31 Dec 1974,AiG (Min),Unknown (Unknown),

862-3-MX-0,-19.8983,136.3358,01 Apr 1946,31 Dec 1974,MiG (Max),Unknown (Unknown),

862-3-DX-0,-19.8983,136.3358,01 Apr 1946,31 Dec 1974,DB: MiG,Unknown (Unknown),

015046: Larrimah Post Office,-15.5833,133.2167,Jan 1965,Dec 1965
NO METADATA AVAILABLE

015085: Brunette Downs,-18.6370,135.9450,Jan 1957,Apr 2019
862-4-AX-0,-18.6388,135.9467,09 Nov 1968,28 Jul 1971,AiG (Min),Dobbie (5719),
862-4-AX-1,-18.6388,135.9467,28 Jul 1971,07 Jul 1972,AiG (Min),Dobbie (6893),
862-4-AX-2,-18.6388,135.9467,07 Jul 1972,29 Mar 1974,AiG (Min),Dobbie (141),
862-4-AX-3,-18.6388,135.9467,29 Mar 1974,15 Oct 1975,AiG (Min),Dobbie (2058),
862-4-AX-4,-18.6388,135.9467,15 Oct 1975,22 Jan 1979,AiG (Min),Dobbie (2328),
862-4-AX-5,-18.6388,135.9467,22 Jan 1979,01 Aug 2000,AiG (Min),Dobbie (3240),
862-4-AX-6,-18.6388,135.9467,01 Aug 2000,03 Jun 2007,AiG (Min),Dobbie (13242),
862-5-AX-0,-18.637,135.945,03 Jun 2007,Unclear,AiG (Min),Dobbie (13242),
862-4-AX-0,-18.6388,135.9467,04 Sep 2000,30 Jul 2002,AiG (Min),Dobbie (18952),
862-4-AX-1,-18.6388,135.9467,30 Jul 2002,21 Feb 2007,AiG (Min),Dobbie (13342),
862-5-AX-0,-18.637,135.945,26 Aug 2017,16 Sep 2018,AiG (Min),Dobbie (19037),
862-5-AX-1,-18.637,135.945,16 Sep 2018,Still active*,AiG (Min),Dobbie (19590),

862-4-MX-0,-18.6388,135.9467,09 Nov 1968,07 Jul 1972,MiG (Max),Dobbie (6991),
862-4-MX-1,-18.6388,135.9467,07 Jul 1972,13 Feb 1975,MiG (Max),Dobbie (230),
862-4-MX-2,-18.6388,135.9467,13 Feb 1975,04 Jan 1978,MiG (Max),Dobbie (1695),
862-4-MX-3,-18.6388,135.9467,04 Jan 1978,03 Jun 2007,MiG (Max),Dobbie (CBM2162),
862-5-MX-0,-18.637,135.945,03 Jun 2007,Unclear,MiG (Max),Dobbie (CBM2162),
862-4-MX-0,-18.6388,135.9467,04 Sep 2000,20 Nov 2000,MiG (Max),Dobbie (19335),
862-4-MX-1,-18.6388,135.9467,20 Nov 2000,12 Aug 2001,MiG (Max),Dobbie (19346),
862-4-MX-2,-18.6388,135.9467,13 Aug 2001,13 Aug 2001,MiG (Max),Dobbie (12986),
862-4-MX-3,-18.6388,135.9467,13 Aug 2001,03 Jun 2007,MiG (Max),Dobbie (19346),
862-5-MX-0,-18.637,135.945,03 Jun 2007,Unclear,MiG (Max),Dobbie (19346),
862-4-MX-0,-18.6388,135.9467,18 Jan 2006,03 Jun 2007,MiG (Max),Dobbie (12986),
862-5-MX-0,-18.637,135.945,03 Jun 2007,Unclear,MiG (Max),Dobbie (12986),
862-4-MX-0,-18.6388,135.9467,20 Jun 2006,18 Feb 2007,MiG (Max),WIKA (26001),
862-4-MX-1,-18.6388,135.9467,19 Feb 2007,06 Mar 2007,MiG (Max),WIKA (26001),
862-4-MX-2,-18.6388,135.9467,06 Mar 2007,03 Jun 2007,MiG (Max),Dobbie (M0452),
862-5-MX-0,-18.637,135.945,03 Jun 2007,26 Jul 2012,MiG (Max),Dobbie (M0452),
862-5-MX-1,-18.637,135.945,19 Jul 2008,20 Nov 2009,MiG (Max),Dobbie (17143),
862-5-MX-2,-18.637,135.945,19 Jul 2008,Unclear,MiG (Max),WIKA (26001),
862-5-MX-3,-18.637,135.945,22 Nov 2009,22 Nov 2009,MiG (Max),Dobbie (M6454),
862-5-MX-4,-18.637,135.945,22 Nov 2009,17 Mar 2014,MiG (Max),Dobbie (17143),
862-5-MX-5,-18.637,135.945,17 Mar 2014,26 Aug 2017,MiG (Max),Dobbie (M2409),
862-5-MX-6,-18.637,135.945,26 Aug 2017,28 Aug 2017,MiG (Max),Dobbie (M1374),
862-5-MX-7,-18.637,135.945,28 Aug 2017,Still active*,MiG (Max),Dobbie (M1374),

862-4-DX-0,-18.6388,135.9467,09 Nov 1968,07 Jul 1972,DB: MiG,Dobbie (1539),
862-4-DX-1,-18.6388,135.9467,07 Jul 1972,22 Jan 1979,DB: MiG,Dobbie (1187),
862-4-DX-2,-18.6388,135.9467,22 Jan 1979,03 Jun 2007,DB: MiG,Dobbie (CBM1232),
862-5-DX-0,-18.637,135.945,03 Jun 2007,Unclear,DB: MiG,Dobbie (CBM1232),
862-4-DX-0,-18.6388,135.9467,04 Sep 2000,29 Jul 2002,DB: MiG,Dobbie (18769),
862-4-DX-1,-18.6388,135.9467,29 Jul 2002,03 Jun 2007,DB: MiG,Dobbie (20246),
862-5-DX-0,-18.637,135.945,03 Jun 2007,26 Jul 2012,DB: MiG,Dobbie (20246),

015087: Tennant Creek Post Office,-19.6475,134.1896,Feb 1910,Oct 1970
860-0-AX-0,-19.6475,134.1896,01 Jan 1874,31 Oct 1970,AiG (Min),Unknown (Unknown),

860-0-MX-0,-19.6475,134.1896,01 Jan 1874,31 Oct 1970,MiG (Max),Unknown (Unknown),

860-0-DX-0,-19.6475,134.1896,01 Jan 1874,31 Oct 1970,DB: MiG,Unknown (Unknown),

015088: Alexandria,-19.0577,136.7065,Oct 1950,Dec 1956
862-6-AX-0,-19.0579,136.7066,12 Oct 1950,02 Dec 1965,AiG (Min),Unknown (Unknown),

862-6-MX-0,-19.0579,136.7066,12 Oct 1950,02 Dec 1965,MiG (Max),Unknown (Unknown),

862-6-DX-0,-19.0579,136.7066,12 Oct 1950,02 Dec 1965,DB: MiG,Unknown (Unknown),

015089: Newcastle Waters Post Office,-17.3833,133.4000,Mar 1963,Mar 1980
862-7-AX-0,-17.3833,133.4,06 Mar 1963,31 Dec 1980,AiG (Min),Unknown (Unknown),

862-7-MX-0,-17.3833,133.4,06 Mar 1963,31 Dec 1980,MiG (Max),Unknown (Unknown),

862-7-DX-0,-17.3833,133.4,06 Mar 1963,31 Dec 1980,DB: MiG,Unknown (Unknown),

015131: Elliott,-17.5552,133.5439,Mar 1980,May 2019
862-8-AX-0,-17.5551,133.5443,14 Mar 1980,13 May 1998,AiG (Min),Dobbie (Unknown),
862-8-AX-1,-17.5551,133.5443,13 May 1998,21 Feb 2001,AiG (Min),Dobbie (M7046),
862-9-AX-0,-17.5521,133.5407,21 Feb 2001,14 Nov 2011,AiG (Min),Dobbie (M7046),
862-10-AX-0,-17.55513,133.5439,14 Nov 2011,15 Jul 2015,AiG (Min),Dobbie (M7046),
862-11-AX-0,-17.55516,133.5439,15 Jul 2015,Unclear,AiG (Min),Dobbie (M7046),
862-8-AX-0,-17.5551,133.5443,07 Sep 2000,21 Feb 2001,AiG (Min),Dobbie (M3555),
862-9-AX-0,-17.5521,133.5407,21 Feb 2001,20 Mar 2006,AiG (Min),Dobbie (M3555),
862-9-AX-1,-17.5521,133.5407,22 Mar 2006,14 Nov 2011,AiG (Min),Dobbie (M1545),
862-9-AX-2,-17.5521,133.5407,19 Jul 2009,14 Nov 2011,AiG (Min),Dobbie (19620),
862-10-AX-0,-17.55513,133.5439,14 Nov 2011,26 Jul 2012,AiG (Min),WIKA (31851),

862-8-MX-0,-17.5551,133.5443,14 Mar 1980,13 Feb 2001,MiG (Max),Dobbie (17109),
862-8-MX-1,-17.5551,133.5443,13 Feb 2001,21 Feb 2001,MiG (Max),Dobbie (M1459),
862-9-MX-0,-17.5521,133.5407,21 Feb 2001,14 Nov 2011,MiG (Max),Dobbie (M1459),
862-10-MX-0,-17.55513,133.5439,14 Nov 2011,15 Jul 2015,MiG (Max),Dobbie (M1459),
862-11-MX-0,-17.55516,133.5439,15 Jul 2015,Unclear,MiG (Max),Dobbie (M1459),
862-9-MX-0,-17.5521,133.5407,21 Feb 2001,08 Jun 2004,MiG (Max),Dobbie (15582),
862-9-MX-1,-17.5521,133.5407,08 Jun 2004,29 Jul 2004,MiG (Max),Dobbie (23439),
862-9-MX-2,-17.5521,133.5407,29 Jul 2004,22 Dec 2005,MiG (Max),Dobbie (23512),
862-9-MX-3,-17.5521,133.5407,22 Dec 2005,14 Nov 2011,MiG (Max),WIKA (26024),
862-10-MX-0,-17.55513,133.5439,14 Nov 2011,15 Jul 2015,MiG (Max),WIKA (26024),
862-11-MX-0,-17.55516,133.5439,15 Jul 2015,Unclear,MiG (Max),WIKA (26024),
862-9-MX-0,-17.5521,133.5407,21 Jul 2008,19 Jul 2009,MiG (Max),Dobbie (15582),
862-9-MX-1,-17.5521,133.5407,19 Jul 2009,14 Nov 2011,MiG (Max),Dobbie (14800),
862-10-MX-0,-17.55513,133.5439,14 Nov 2011,15 Jul 2015,MiG (Max),Dobbie (14800),
862-11-MX-0,-17.55516,133.5439,15 Jul 2015,Unclear,MiG (Max),Dobbie (14800),
862-10-MX-0,-17.55513,133.5439,14 Nov 2011,15 Feb 2012,MiG (Max),Dobbie (19312),
862-10-MX-1,-17.55513,133.5439,16 Feb 2012,16 Feb 2012,MiG (Max),WIKA (27753),
862-10-MX-2,-17.55513,133.5439,16 Feb 2012,11 Jun 2014,MiG (Max),Dobbie (19312),
862-11-MX-0,-17.55516,133.5439,30 Apr 2016,Still active*,MiG (Max),Dobbie (19312),

862-8-DX-0,-17.5551,133.5443,14 Mar 1980,21 Feb 2001,DB: MiG,Dobbie (CBM1230),
862-9-DX-0,-17.5521,133.5407,21 Feb 2001,14 Nov 2011,DB: MiG,Dobbie (CBM1230),
862-10-DX-0,-17.55513,133.5439,14 Nov 2011,15 Jul 2015,DB: MiG,Dobbie (CBM1230),
862-11-DX-0,-17.55516,133.5439,15 Jul 2015,Unclear,DB: MiG,Dobbie (CBM1230),
862-8-DX-0,-17.5551,133.5443,07 Sep 2000,21 Feb 2001,DB: MiG,Dobbie (18710),
862-9-DX-0,-17.5521,133.5407,21 Feb 2001,19 May 2003,DB: MiG,Dobbie (18710),
862-9-DX-1,-17.5521,133.5407,19 May 2003,14 Nov 2011,DB: MiG,Dobbie (20180),
862-10-DX-0,-17.55513,133.5439,14 Nov 2011,26 Jul 2012,DB: MiG,Dobbie (20234),
862-10-DX-1,-17.55513,133.5439,11 Jun 2014,15 Jul 2015,DB: MiG,Dobbie (19160),
862-11-DX-0,-17.55516,133.5439,15 Jul 2015,Still active*,DB: MiG,Dobbie (19160),

015135: Tennant Creek Airport,-19.6423,134.1833,Jul 1969,May 2019
860-1-AL-0,-19.6423,134.1833,01 Aug 1969,30 Nov 2005,AiG (Min),Dobbie (17306),Large Stevenson
860-1-AL-1,-19.6423,134.1833,30 Nov 2005,01 Jun 2017,AiG (Min),Dobbie (17075),Large Stevenson

860-1-ML-0,-19.6423,134.1833,01 Aug 1969,30 Nov 2005,MiG (Max),Dobbie (15389),Large Stevenson
860-1-ML-1,-19.6423,134.1833,30 Nov 2005,13 Jan 2006,MiG (Max),Dobbie (20565),Large Stevenson
860-1-ML-2,-19.6423,134.1833,13 Jan 2006,01 Jun 2017,MiG (Max),Dobbie (15414),Large Stevenson

860-1-PL-0,-19.6423,134.1833,01 Jul 1990,08 Mar 2006,Probe,Rosemount (NONE),Large Stevenson
860-1-PL-1,-19.6423,134.1833,08 Mar 2006,Still active*,Probe,Temp Control TCBMP01 (10125),Large Stevenson

860-1-DL-0,-19.6423,134.1833,01 Aug 1969,16 Mar 2010,DB: MiG,Dobbie (15859),Large Stevenson
860-1-DL-1,-19.6423,134.1833,05 Jun 2013,01 Jun 2017,DB: MiG,Dobbie (20187),Large Stevenson

015502: Ali Curung,-21.0025,134.4029,Jun 1988,Jan 2014
872-0-AX-0,-21.0025,134.4029,11 Jun 1988,28 Aug 1988,AiG (Min),Dobbie (3928),
872-0-AX-1,-21.0025,134.4029,28 Aug 1988,13 Mar 1990,AiG (Min),Dobbie (1326),
872-0-AX-2,-21.0025,134.4029,13 Mar 1990,09 Jul 1990,AiG (Min),Dobbie (M2156),
872-0-AX-3,-21.0025,134.4029,09 Jul 1990,14 Aug 1990,AiG (Min),Dobbie (4335),
872-0-AX-4,-21.0025,134.4029,14 Aug 1990,18 Feb 1991,AiG (Min),Dobbie (Unknown),
872-0-AX-5,-21.0025,134.4029,18 Feb 1991,07 Apr 1992,AiG (Min),Dobbie (Unknown),
872-0-AX-6,-21.0025,134.4029,07 Apr 1992,06 Nov 1992,AiG (Min),Dobbie (415513),
872-0-AX-7,-21.0025,134.4029,06 Nov 1992,18 Aug 2006,AiG (Min),Dobbie (M5130),
872-0-AX-8,-21.0025,134.4029,12 May 2001,08 Jul 2004,AiG (Min),Dobbie (19594),
872-0-AX-9,-21.0025,134.4029,18 May 2003,09 Dec 2004,AiG (Min),Dobbie (15653),
872-0-AX-10,-21.0025,134.4029,09 Dec 2004,19 Aug 2006,AiG (Min),Dobbie (20678),
872-0-AX-11,-21.0025,134.4029,01 Sep 2006,Unclear,AiG (Min),Dobbie (23237),
872-0-AX-12,-21.0025,134.4029,01 Sep 2006,26 Jul 2012,AiG (Min),Dobbie (24305),
872-0-AX-13,-21.0025,134.4029,26 May 2009,06 May 2010,AiG (Min),Dobbie (20442),
872-0-AX-14,-21.0025,134.4029,06 May 2010,16 Jul 2015,AiG (Min),Unknown (19181),

872-0-MX-0,-21.0025,134.4029,11 Jun 1988,10 Jul 1988,MiG (Max),Dobbie (4005),
872-0-MX-1,-21.0025,134.4029,10 Jul 1988,09 Jul 1990,MiG (Max),Dobbie (4679),
872-0-MX-2,-21.0025,134.4029,09 Jul 1990,28 Nov 1994,MiG (Max),Dobbie (M2119),
872-0-MX-3,-21.0025,134.4029,28 Nov 1994,18 Aug 2006,MiG (Max),Dobbie (M1489),
872-0-MX-4,-21.0025,134.4029,12 May 2001,16 Jul 2015,MiG (Max),Dobbie (20631),
872-0-MX-5,-21.0025,134.4029,10 May 2007,26 Jul 2012,MiG (Max),Dobbie (44398),

872-0-DX-0,-21.0025,134.4029,11 Jun 1988,09 Jul 1990,DB: MiG,Dobbie (1106),
872-0-DX-1,-21.0025,134.4029,09 Jul 1990,16 Jul 2015,DB: MiG,Dobbie (CBM1106),
872-0-DX-2,-21.0025,134.4029,12 May 2001,26 Jul 2012,DB: MiG,Dobbie (20281),

015511: Curtin Springs,-25.3139,131.7571,Jan 1965,May 2019
872-1-AX-0,-25.3139,131.7571,01 May 1964,11 Jun 2013,AiG (Min),Dobbie (12805),
872-1-AX-1,-25.3139,131.7571,04 May 2001,17 Aug 2006,AiG (Min),Dobbie (19639),
872-1-AX-2,-25.3139,131.7571,17 Aug 2006,29 Apr 2008,AiG (Min),Dobbie (23259),
872-1-AX-3,-25.3139,131.7571,02 May 2007,21 Jun 2014,AiG (Min),Dobbie (17050),
872-2-AX-0,-25.31387,131.75713,21 Jun 2014,Unclear,AiG (Min),Dobbie (17050),
872-1-AX-0,-25.3139,131.7571,14 Jun 2010,14 Jun 2010,AiG (Min),Dobbie (CBM346),
872-1-AX-1,-25.3139,131.7571,14 Jun 2010,21 Jun 2014,AiG (Min),Dobbie (CBM4994),
872-2-AX-0,-25.31387,131.75713,21 Jun 2014,Unclear,AiG (Min),Dobbie (CBM4994),
872-1-AX-0,-25.3139,131.7571,15 Jun 2010,17 Sep 2011,AiG (Min),Dobbie (12805),
872-1-AX-1,-25.3139,131.7571,17 Sep 2011,21 Jun 2014,AiG (Min),Dobbie (20746),
872-2-AX-0,-25.31387,131.75713,13 Dec 2018,Still active*,AiG (Min),Dobbie (M0271),

872-1-MX-0,-25.3139,131.7571,01 May 1964,21 Jun 2014,MiG (Max),Dobbie (M1340),
872-2-MX-0,-25.31387,131.75713,21 Jun 2014,Unclear,MiG (Max),Dobbie (M1340),
872-1-MX-0,-25.3139,131.7571,04 May 2001,23 Jul 2001,MiG (Max),Dobbie (13733),
872-1-MX-1,-25.3139,131.7571,24 Jul 2001,24 Jul 2001,MiG (Max),Dobbie (17410),
872-1-MX-2,-25.3139,131.7571,24 Jul 2001,10 May 2003,MiG (Max),Dobbie (13733),
